x1=0.15000000000000002 v1=0 x2=0.25 v2=0
x1=0.1349715076214909 v1=-0.32551528560803844 x2=0.2490984354899436 v2=-0.042215580089829605
x1=0.1346449609747752 v1=-0.32756712311537445 x2=0.24905549794574328 v2=-0.04365879269080759
x1=0.13431639306622578 v1=-0.3295577419013088 x2=0.24901110293159634 v2=-0.045130495692141157
x1=0.1339858652417739 v1=-0.3314868895908564 x2=0.24896522193245516 v2=-0.04663073791308035
x1=0.1336534390921572 v1=-0.33335432895445627 x2=0.24891782638895893 v2=-0.0481595591600059
x1=0.13331917643774815 v1=-0.3351598379598476 x2=0.24886888770646012 v2=-0.04971699019948554
x1=0.13298313931333233 v1=-0.33690320982000443 x2=0.24881837726407655 v2=-0.05130305273375644
x1=0.13264538995284111 v1=-0.33858425303711537 x2=0.24876626642376684 v2=-0.05291775937864071
x1=0.1323059907740421 v1=-0.3402027914425987 x2=0.24871252653942683 v2=-0.05456111364390057
x1=0.13196500436319167 v1=-0.34175866423314144 x2=0.24865712896600414 v2=-0.056233109916038734
x1=0.13162249345965338 v1=-0.3432517260027546 x2=0.24860004506862904 v2=-0.057933733443549296
x1=0.13127852094048642 v1=-0.34468184677083546 x2=0.2485412462317586 v2=-0.05966296032462356
x1=0.13093314980500784 v1=-0.3460489120062307 x2=0.24848070386833201 v2=-0.06142075749731459
x1=0.13058644315933293 v1=-0.34735282264729417 x2=0.2484183894289345 v2=-0.06320708273216377
x1=0.13023846420089732 v1=-0.3485934951179343 x2=0.24835427441096727 v2=-0.06502188462729179
x1=0.12988927620296523 v1=-0.34977086133964774 x2=0.2482883303678214 v2=-0.06686510260595607
x1=0.12953894249912756 v1=-0.350884868739536 x2=0.24822052891805266 v2=-0.06873666691657583
x1=0.1291875264677941 v1=-0.3519354802543035 x2=0.2481508417545551 v2=-0.07063649863522538
x1=0.1288350915166836 v1=-0.35292267433023655 x2=0.2480792406537312 v2=-0.07256450967059558
x1=0.12848170106731596 v1=-0.35384644491916367 x2=0.2480056974846554 v2=-0.0745206027714228
x1=0.12812741853951054 v1=-0.35470680147039796 x2=0.24793018421822938 v2=-0.07650467153638406
x1=0.12777230733589437 v1=-0.3555037689186652 x2=0.24785267293632585 v2=-0.07851660042645621
x1=0.1274164308264245 v1=-0.3562373876680201 x2=0.247773135840919 v2=-0.08055626477973675
x1=0.12705985233292857 v1=-0.3569077135717559 x2=0.2476915452631988 v2=-0.08262353082872273
x1=0.12670263511366728 v1=-0.35751481790831274 x2=0.24760787367266684 v2=-0.084718255720044
x1=0.12634484234792298 v1=-0.3580587873531915 x2=0.2475220936862111 v2=-0.08684028753664612
x1=0.12598653712061855 v1=-0.358539723946881 x2=0.24743417807715742 v2=-0.08898946532241772
x1=0.12562778240697 v1=-0.3589577450588066 x2=0.24734409978429525 v2=-0.0911656191092565
x1=0.12526864105717744 v1=-0.3593129833473114 x2=0.24725183192087474 v2=-0.09336856994656728
x1=0.12490917578115777 v1=-0.359605586715679 x2=0.24715734778357346 v2=-0.09559812993318499
x1=0.12454944913332355 v1=-0.3598357182642117 x2=0.24706062086142988 v2=-0.09785410225171479
x1=0.1241895234974116 v1=-0.36000355623837516 x2=0.2469616248447413 v2=-0.10013628120528097
x1=0.12382946107136544 v1=-0.36010929397302494 x2=0.24686033363392376 v2=-0.10244445225667545
x1=0.1234693238522756 v1=-0.3601531398327288 x2=0.2467567213483318 v2=-0.10477839206989632
x1=0.12310917362138132 v1=-0.3601353171482015 x2=0.24665076233503522 v2=-0.107137868554066
x1=0.12274907192913796 v1=-0.3600560641488686 x2=0.24654243117755104 v2=-0.10952264090971812
x1=0.12238908008035362 v1=-0.3599156338915774 x2=0.24643170270452772 v2=-0.11193245967744166
x1=0.12202925911939907 v1=-0.35971429418547407 x2=0.2463185519983797 v2=-0.11436706678886986
x1=0.1216696698154947 v1=-0.35945232751306705 x2=0.24620295440386986 v2=-0.11682619562000156
x1=0.12131037264807817 v1=-0.35913003094749746 x2=0.24608488553663724 v2=-0.11930957104684105
x1=0.12095142779225695 v1=-0.3587477160660388 x2=0.24596432129166831 v2=-0.12181690950334281
x1=0.12059289510434892 v1=-0.35830570885984864 x2=0.24584123785170886 v2=-0.12434791904164631
x1=0.12023483410751531 v1=-0.3578043496399965 x2=0.24571561169561465 v2=-0.12690229939458564
x1=0.11987730397748939 v1=-0.357243992939793 x2=0.24558741960663844 v2=-0.1294797420404582
x1=0.1195203635284046 v1=-0.3566250074134452 x2=0.24545663868065104 v2=-0.13207993027003598
x1=0.119164071198726 v1=-0.3559477757310668 x2=0.2453232463342943 v2=-0.13470253925580247
x1=0.11880848503728839 v1=-0.35521269447006887 x2=0.2451872203130638 v2=-0.1373472361233975
x1=0.11845366268944485 v1=-0.3544201740029618 x2=0.2450485386993188 v2=-0.14001368002525186
x1=0.11809966138332936 v1=-0.3535706383815966 x2=0.2449071799202178 v2=-0.14270152221639304
x1=0.11774653791623685 v1=-0.35266452521787744 x2=0.24476312275557685 v2=-0.1454104061324026
x1=0.11739434864112426 v1=-0.35170228556097594 x2=0.24461634634564916 v2=-0.1481399674695054
x1=0.11704314945323627 v1=-0.35068438377108047 x2=0.24446683019882332 v2=-0.15088983426677005
x1=0.11669299577685882 v1=-0.34961129738971325 x2=0.24431455419923845 v2=-0.1536596269903999
x1=0.11634394255220416 v1=-0.34848351700664987 x2=0.2441594986143139 v2=-0.15644895862009256
x1=0.11599604422243057 v1=-0.3473015461234762 x2=0.24400164410219163 v2=-0.1592574347374463
x1=0.1156493547208002 v1=-0.3460659010138189 x2=0.24384097171908914 v2=-0.1620846536163902
x1=0.11530392745797839 v1=-0.3447771105802861 x2=0.24367746292656103 v2=-0.1649302063156153
x1=0.11495981530947764 v1=-0.3434357162081562 x2=0.243511099598667 v2=-0.16779367677298276
x1=0.11461707060324945 v1=-0.3420422716158537 x2=0.24334186402904473 v2=-0.17067464190188492
x1=0.11427574510742734 v1=-0.3405973427022507 x2=0.24316973893788502 v2=-0.17357267168953447
x1=0.11393589001822413 v1=-0.33910150739083544 x2=0.24299470747880814 v2=-0.1764873292971565
x1=0.11359755594798655 v1=-0.3375553554707877 x2=0.24281675324563873 v2=-0.17941817116205763
x1=0.1132607929134104 v1=-0.3359594884350041 x2=0.2426358602790779 v2=-0.18236474710154604
x1=0.11292565032391906 v1=-0.3343145193151156 x2=0.2424520130732703 v2=-0.18532660041867557
x1=0.1125921769702086 v1=-0.3326210725135398 x2=0.24226519658226475 v2=-0.18830326800978672
x1=0.1122604210129622 v1=-0.3308797836326143 x2=0.24207539622636629 v2=-0.1912942804738169
x1=0.11193042997173694 v1=-0.3290912993008538 x2=0.24188259789837815 v2=-0.1942991622233517
x1=0.11160225071402569 v1=-0.3272562769963786 x2=0.24168678796973175 v2=-0.19731743159738846
x1=0.11127592944449705 v1=-0.32537538486755985 x2=0.24148795329650316 v2=-0.20034860097578344
x1=0.11095151169441594 v1=-0.32344930155092916 x2=0.24128608122531414 v2=-0.20339217689535263
x1=0.11062904231124768 v1=-0.3214787159864008 x2=0.24108115959911647 v2=-0.2064476601675964
x1=0.11030856544844808 v1=-0.3194643272298545 x2=0.24087317676285758 v2=-0.20951454599801778
x1=0.1099901245554424 v1=-0.3174068442631288 x2=0.24066212156902622 v2=-0.21259232410700343
x1=0.10967376236779543 v1=-0.31530698580147465 x2=0.24044798338307638 v2=-0.21568047885223596
x1=0.10935952089757547 v1=-0.31316548009851974 x2=0.24023075208872804 v2=-0.21877848935260616
x1=0.10904744142391455 v1=-0.3109830647487956 x2=0.2400104180931434 v2=-0.22188582961359313
x1=0.10873756448376723 v1=-0.30876048648787857 x2=0.23978697233197688 v2=-0.22500196865407981
x1=0.10842992986287059 v1=-0.30649850099019754 x2=0.2395604062742976 v2=-0.2281263706345711
x1=0.1081245765869074 v1=-0.3041978726645622 x2=0.2393307119273831 v2=-0.23125849498678158
x1=0.10782154291287498 v1=-0.3018593744474646 x2=0.23909788184138264 v2=-0.23439779654455906
x1=0.10752086632066178 v1=-0.2994837875942089 x2=0.23886190911384908 v2=-0.23754372567611046
x1=0.10722258350483398 v1=-0.29707190146792484 x2=0.23862278739413767 v2=-0.24069572841749537
x1=0.10692673036663397 v1=-0.29462451332651884 x2=0.23838051088767095 v2=-0.24385324660735302
x1=0.10663334200619308 v1=-0.2921424281076206 x2=0.23813507436006828 v2=-0.24701571802282782
x1=0.10634245271496012 v1=-0.2896264582115802 x2=0.23788647314113875 v2=-0.250182576516658
x1=0.10605409596834807 v1=-0.28707742328257363 x2=0.23763470312873655 v2=-0.253353252155392
x1=0.10576830441860045 v1=-0.28449614998787437 x2=0.23737976079247752 v2=-0.2565271713586972
x1=0.10548510988787939 v1=-0.281883471795348 x2=0.23712164317731588 v2=-0.25970375703972387
x1=0.10520454336157699 v1=-0.2792402287492299 x2=0.2368603479069801 v2=-0.2628824287464893
x1=0.10492663498185185 v1=-0.27656726724424335 x2=0.23659587318726688 v2=-0.26606260280424426
x1=0.1046514140413922 v1=-0.2738654397981188 x2=0.23632821780919225 v2=-0.2692436924587857
x1=0.10437890897740723 v1=-0.271135604822573 x2=0.23605738115199895 v2=-0.2724251080206781
x1=0.10410914736584838 v1=-0.26837862639280896 x2=0.2357833631860192 v2=-0.27560625701034625
x1=0.10384215591586161 v1=-0.2655953740155967 x2=0.2355061644753918 v2=-0.27878654430400196
x1=0.10357796046447246 v1=-0.26278672239599604 x2=0.23522578618063308 v2=-0.2819653722803664
x1=0.1033165859715049 v1=-0.259953551202783 x2=0.23494223006106063 v2=-0.28514214096815044
x1=0.10305805651473551 v1=-0.2570967448326406 x2=0.23465549847706926 v2=-0.2883162481942545
x1=0.10280239528528393 v1=-0.2542171921731769 x2=0.23436559439225835 v2=-0.29148708973264975
x1=0.1025496245832409 v1=-0.25131578636483193 x2=0.23407252137541007 v2=-0.29465405945390144
x1=0.102299765813535 v1=-0.2483934245617363 x2=0.23377628360231772 v2=-0.2978165494752962
x1=0.10205283948203889 v1=-0.24545100769158432 x2=0.23347688585746368 v2=-0.3009739503115337
x1=0.10180886519191622 v1=-0.24248944021458457 x2=0.23317433353554637 v2=-0.30412565102594424
x1=0.10156786164021006 v1=-0.2395096298815513 x2=0.23286863264285587 v2=-0.3072710393821924
x1=0.10132984661467354 v1=-0.23651248749120016 x2=0.23255978979849742 v2=-0.31040950199642775
x1=0.10109483699084362 v1=-0.23349892664671204 x2=0.2322478122354627 v2=-0.3135404244898426
x1=0.1008628487293587 v1=-0.23046986351162888 x2=0.23193270780154837 v2=-0.31666319164159784
x1=0.10063389687352049 v1=-0.22742621656514553 x2=0.2316144849601214 v2=-0.3197771875420767
x1=0.10040799554710098 v1=-0.22436890635686205 x2=0.23129315279073118 v2=-0.32288179574642645
x1=0.10018515795239485 v1=-0.2212988552610606 x2=0.23096872098956775 v2=-0.3259763994283488
x1=0.09996539636851787 v1=-0.21821698723057173 x2=0.2306411998697664 v2=-0.32906038153409817
x1=0.0997487221499515 v1=-0.21512422755029437 x2=0.23031060036155787 v2=-0.3321331249366486
x1=0.09953514572533424 v1=-0.21202150259043442 x2=0.2299769340122646 v2=-0.33519401258998854
x1=0.09932467659649977 v1=-0.20890973955952682 x2=0.22964021298614248 v2=-0.338242427683504
x1=0.09911732333776217 v1=-0.20578986625730544 x2=0.22930045006406824 v2=-0.34127775379640946
x1=0.09891309359544834 v1=-0.20266281082748638 x2=0.22895765864307235 v2=-0.34429937505218655
x1=0.0987119940876776 v1=-0.19952950151052892 x2=0.22861185273571769 v2=-0.34730667627299056
x1=0.09851403060438858 v1=-0.19639086639643932 x2=0.22826304696932348 v2=-0.350299043133984
x1=0.09831920800761323 v1=-0.19324783317768235 x2=0.2279112565850354 v2=-0.35327586231755803
x1=0.09812753023199779 v1=-0.1901013289022653 x2=0.2275564974367411 v2=-0.3562365216674003
x1=0.0979390002855706 v1=-0.1869522797270593 x2=0.22719878598983215 v2=-0.3591804103423706
x1=0.09775362025075647 v1=-0.1838016106714227 x2=0.2268381393198118 v2=-0.3621069189701433
x1=0.09757139128563723 v1=-0.1806502453711911 x2=0.22647457511074975 v2=-0.3650154398005767
x1=0.09739231362545803 v1=-0.17749910583309866 x2=0.2261081116535832 v2=-0.3679053668587698
x1=0.09721638658437902 v1=-0.17434911218969515 x2=0.2257387678442653 v2=-0.3707760960977661
x1=0.09704360855747185 v1=-0.17120118245482288 x2=0.22536656318176113 v2=-0.3736270255508651
x1=0.09687397702296033 v1=-0.16805623227971786 x2=0.22499151776589132 v2=-0.37645755548350196
x1=0.09670748854470472 v1=-0.16491517470979894 x2=0.22461365229502436 v2=-0.3792670885446551
x1=0.09654413877492879 v1=-0.1617789199422091 x2=0.22423298806361747 v2=-0.3820550299177428
x1=0.096383922457189 v1=-0.15864837508417215 x2=0.22384954695960702 v2=-0.38482078747097004
